county,batch,page_type,url,external,notes
Lavaca,3,polling,https://www.co.lavaca.tx.us/page/Elections.Official-Polling-Locations,false,"found via ""Polling Locations"" score=21"
Lavaca,3,early_voting,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Lavaca,3,results,,false,GAP: candidate is non-HTML (image/jpeg) — out of scope
Lee,3,elections,https://www.co.lee.tx.us/page/lee.Elections,false,"found via link ""Elections Administrator"" score=20"
Lee,3,polling,https://www.co.lee.tx.us/page/lee.Elections2024,false,no standing polling page; using per-election hub page (shared with other types) — review
Lee,3,early_voting,https://www.co.lee.tx.us/page/lee.Elections2024,false,no standing early_voting page; using per-election hub page (shared with other types) — review
Lee,3,results,,false,GAP: no county-specific page found (best candidate was an unrelated third-party site)
Leon,3,elections,https://www.co.leon.tx.us/page/leon.Elections,false,"found via link ""Elections"" score=20"
Leon,3,polling,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Leon,3,early_voting,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Leon,3,results,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Liberty,3,elections,https://www.co.liberty.tx.us/page/liberty.elections,false,"found via link ""Election Information"" score=12"
Liberty,3,polling,https://www.co.liberty.tx.us/page/liberty.elections.2026-11-03,false,no standing polling page; using per-election hub page (shared with other types) — review
Liberty,3,early_voting,https://www.co.liberty.tx.us/page/liberty.elections.2026-11-03,false,no standing early_voting page; using per-election hub page (shared with other types) — review
Liberty,3,results,https://www.co.liberty.tx.us/page/liberty.elections.past.historical,false,"found via ""HISTORICAL ELECTION RESULTS"" score=21"
Limestone,3,elections,https://www.co.limestone.tx.us/page/limestone.Elections,false,"found via link ""Elections"" score=20"
Limestone,3,polling,,false,GAP: no county-specific page found (best candidate was an unrelated third-party site)
Limestone,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Limestone,3,results,https://colimestone.sharepoint.com/sites/ArchivedElectionResults/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FArchivedElectionResults%2FShared%20Documents%2FElection%20Results&p=true&ga=1,true,"found via ""ARCHIVED ELECTION RESULTS"" score=21"
Lipscomb,3,elections,https://www.co.lipscomb.tx.us/page/lipscomb.ElectionInformation,false,"found via link ""Election Information"" score=9"
Lipscomb,3,polling,,false,GAP: candidate is non-HTML (text/plain) — out of scope
Lipscomb,3,early_voting,,false,GAP: candidate is non-HTML (text/plain) — out of scope
Lipscomb,3,results,,false,GAP: candidate is non-HTML (text/plain) — out of scope
Live Oak,3,elections,https://www-vote411-org.translate.goog/?_x_tr_sl=auto&_x_tr_tl=es&_x_tr_hl=en,true,"dedicated elections portal, reached via liveoak.Elections"
Live Oak,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Live Oak,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Live Oak,3,results,https://www.co.live-oak.tx.us/page/liveoak.Results,false,"found via ""Results"" score=8"
Lynn,3,elections,https://www.co.lynn.tx.us/page/lynn.Elections,false,"found via link ""Elections"" score=20"
Lynn,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Lynn,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Lynn,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Madison,3,elections,https://www.co.madison.tx.us/page/madison.Elections,false,"found via link ""Elections"" score=20"
Madison,3,polling,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Madison,3,early_voting,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Madison,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Marion,3,elections,https://marioncountytaxoffice.com/elections/,true,"found via link ""Elections"" score=18"
Marion,3,polling,https://marioncountytaxoffice.com/november-5-2024-general-election/,true,no standing polling page; using per-election hub page (shared with other types) — review
Marion,3,early_voting,https://marioncountytaxoffice.com/november-5-2024-general-election/,true,no standing early_voting page; using per-election hub page (shared with other types) — review
Marion,3,results,,false,GAP: no distinct page found (likely folded into elections page)
