county,fact,fact_label,verdict,matched_text,why,pages_captured
dickens,polling_hours,Polling hours,Matches expected,[elections] 7:00am - 7:00pm,parsed 7:00-19:00,2
dickens,election_date,Next election date,Matches expected,"[elections] November 3, 2026 Order of Elections","(2026, 11, 3)",2
dickens,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
dickens,early_voting_window,Early voting window,Never states it,,lists days inside the expected window but never states it,2
dimmit,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
dimmit,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General & Special Election","(2026, 11, 3)",2
dimmit,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
dimmit,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
donley,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
donley,election_date,Next election date,Never states it,,no election-day date found in election context,2
donley,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
donley,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
duval,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
duval,election_date,Next election date,Never states it,,no election-day date found in election context,2
duval,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
duval,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
eastland,polling_hours,Polling hours,Matches expected,[elections] Polls will open at 7 am and Close at 7 pm.,parsed 7:00-19:00,2
eastland,election_date,Next election date,Matches expected,"[elections] Tuesday, November 3, 2026 - Uniform Election Date","(2026, 11, 3)",2
eastland,registration_deadline,Registration deadline,Matches expected,"[elections] Monday, October 5, 2026","(2026, 10, 5)",2
eastland,early_voting_window,Early voting window,Matches expected,"[elections] Monday, October 19, 2026","(2026, 10, 19)..(2026, 10, 30)",2
ector,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
ector,election_date,Next election date,Matches expected,"[elections] NOVEMBER 03, 2026 ELECTION INFORMATION","(2026, 11, 3)",2
ector,registration_deadline,Registration deadline,States something else,[elections] JOINT ELECTION RESOLUTION,"states (2026, 11, 3), expected (2026, 10, 5)",2
ector,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
edwards,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,4
edwards,election_date,Next election date,Matches expected,[elections] Order of General Election Nov 3 2026,"(2026, 11, 3)",4
edwards,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
edwards,early_voting_window,Early voting window,States something else,[elections] Notice of General Election Nov 3 2026,"states [(2026, 11, 3), (2026, 5, 18)], expected (2026, 10, 19)..(2026, 10, 30)",4
el_paso,polling_hours,Polling hours,Matches expected,[polling] All Vote Centers will be open from 7:00 a.m. to 7:00 p.m.,parsed 7:00-19:00,5
el_paso,election_date,Next election date,Matches expected,"[early_voting] November 3, 2026","(2026, 11, 3)",5
el_paso,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
el_paso,early_voting_window,Early voting window,Matches expected,"[early_voting] Monday, October 19, 2026 - Friday, October 30, 2026","(2026, 10, 19)..(2026, 10, 30)",5
ellis,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
ellis,election_date,Next election date,Matches expected,"[homepage] General and Special Elections- November 3, 2026","(2026, 11, 3)",5
ellis,registration_deadline,Registration deadline,Matches expected,"[homepage] Monday, October 5, 2026, is the deadline to register or make any changes to your voter record for the General ","(2026, 10, 5)",5
ellis,early_voting_window,Early voting window,Matches expected,"[homepage] Early voting will occur October 19-30, 2026. Election Day is on Tuesday, November 3, 2026.","(2026, 10, 19)..(2026, 10, 30)",5
erath,polling_hours,Polling hours,Matches expected,"[early_voting] Election Day will be Tuesday, November 3, 2026 (7:00am - 7:00pm)",parsed 7:00-19:00,4
erath,election_date,Next election date,Matches expected,"[early_voting] The next election in Erath County is the General Election November 3, 2026.","(2026, 11, 3)",4
