county,facts_stated,pages_captured,has_elections_page,mentions_nov3,mentions_past_2026,elections_referenced,nov3_mentions,last_text_change,days_since_change
wilbarger,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-01,19
willacy,1,2,yes,no,yes,May 2 uniform (past); Mar 3 primary (past),0,2026-08-20,0
williamson,3,4,yes,yes,yes,May 26 primary runoff (past); Mar 3 primary (past); Nov 3 general (upcoming); May 2 uniform (past); Jun 13 runoff (past),5,2026-08-20,0
wilson,3,2,yes,yes,yes,May 2 uniform (past); Nov 3 general (upcoming); May 26 primary runoff (past); Mar 3 primary (past),2,2026-08-20,0
winkler,0,2,yes,no,yes,Mar 3 primary (past),0,2026-08-01,19
wise,3,3,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),5,2026-08-15,5
wood,3,5,yes,yes,no,Nov 3 general (upcoming),3,2026-08-20,0
yoakum,2,2,yes,yes,yes,May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past); Nov 3 general (upcoming),1,2026-08-04,16
young,2,2,yes,no,yes,May 2 uniform (past),0,2026-08-14,6
zapata,3,3,yes,no,yes,May 26 primary runoff (past); Mar 3 primary (past),0,2026-08-14,6
zavala,0,3,yes,no,no,none of the 2026 calendar,0,2026-08-20,0
